NUMTIC,NUMCAJ,CODIGO,DESCRI,CANTIDAD,PRECIO,year_file
6000,100006000,1.0,E. POLLO,5.0,1.0,2020
6001,100006001,1.0,E. POLLO,4.0,1.0,2020
6002,100006002,1.0,E. POLLO,6.0,1.0,2020
6003,100006003,1.0,E. POLLO,8.0,1.0,2020
6004,100006004,1.0,E. POLLO,3.0,1.0,2020
6005,100006005,77.0,Tercio,2.0,1.2,2020
6005,100006005,1.0,E. POLLO,1.0,1.0,2020
6006,100006006,10254.0,cuñape 0.50,1.0,0.5,2020
6007,100006007,1.0,E. POLLO,3.0,1.0,2020
6008,100006008,1.0,E. POLLO,7.0,1.0,2020
6009,100006009,10254.0,cuñape 0.50,1.0,0.5,2020
6010,100006010,1.0,E. POLLO,4.0,1.0,2020
6011,100006011,9.0,Salteña,3.0,1.5,2020
6012,100006012,174.0,Cafe Leche,2.0,1.2,2020
6013,100006013,1.0,E. POLLO,4.0,1.0,2020
6014,100006014,1.0,E. POLLO,4.0,1.0,2020
6015,100006015,1.0,E. POLLO,10.0,1.0,2020
6016,100006016,1.0,E. POLLO,4.0,1.0,2020
6017,100006017,1.0,E. POLLO,4.0,1.0,2020
6018,100006018,1.0,E. POLLO,3.0,1.0,2020
6019,100006019,1.0,E. POLLO,3.0,1.0,2020
6020,100006020,172.0,Cortado/Manchado,1.0,1.0,2020
6021,100006021,171.0,solo,1.0,1.0,2020
6022,100006022,171.0,solo,1.0,1.0,2020
6023,100006023,171.0,solo,2.0,1.0,2020
6024,100006024,171.0,solo,4.0,1.0,2020
6025,100006025,171.0,solo,2.0,1.0,2020
6026,100006026,171.0,solo,2.0,1.0,2020
6027,100006027,1.0,E. POLLO,2.0,1.0,2020
6028,100006028,1.0,E. POLLO,6.0,1.0,2020
6029,100006029,10254.0,cuñape 0.50,1.0,0.5,2020
6030,100006030,1.0,E. POLLO,2.0,1.0,2020
6031,100006031,1.0,E. POLLO,4.0,1.0,2020
6032,100006032,1.0,E. POLLO,1.0,1.0,2020
6033,100006033,1.0,E. POLLO,25.0,1.0,2020
6034,100006034,1.0,E. POLLO,1.0,1.0,2020
6035,100006035,1.0,E. POLLO,1.0,1.0,2020
6036,100006036,1.0,E. POLLO,23.0,1.0,2020
6037,100006037,9.0,Salteña,1.0,1.5,2020
6038,100006038,1.0,E. POLLO,4.0,1.0,2020
6039,100006039,1.0,E. POLLO,5.0,1.0,2020
6040,100006040,1.0,E. POLLO,5.0,1.0,2020
6041,100006041,1.0,E. POLLO,2.0,1.0,2020
6042,100006042,1.0,E. POLLO,4.0,1.0,2020
6043,100006043,1.0,E. POLLO,3.0,1.0,2020
6043,100006043,174.0,Cafe Leche,2.0,1.2,2020
6044,100006044,174.0,Cafe Leche,3.0,1.2,2020
6044,100006044,1.0,E. POLLO,5.0,1.0,2020
6045,100006045,1.0,E. POLLO,1.0,1.0,2020
6046,100006046,1.0,E. POLLO,5.0,1.0,2020
6047,100006047,1.0,E. POLLO,6.0,1.0,2020
6048,100006048,10254.0,cuñape 0.50,1.0,0.5,2020
6049,100006049,1.0,E. POLLO,2.0,1.0,2020
6050,100006050,1.0,E. POLLO,1.0,1.0,2020
6051,100006051,1.0,E. POLLO,4.0,1.0,2020
6052,100006052,10254.0,cuñape 0.50,1.0,0.5,2020
6053,100006053,1.0,E. POLLO,1.0,1.0,2020
6054,100006054,9.0,Salteña,1.0,1.5,2020
6055,100006055,1.0,E. POLLO,13.0,1.0,2020
6056,100006056,1.0,E. POLLO,5.0,1.0,2020
6057,100006057,175.0,Belmonte,2.0,1.2,2020
6057,100006057,9.0,Salteña,1.0,1.5,2020
6058,100006058,1.0,E. POLLO,4.0,1.0,2020
6059,100006059,76.0,Quinto,1.0,1.0,2020
6059,100006059,9.0,Salteña,1.0,1.5,2020
6060,100006060,1.0,E. POLLO,5.0,1.0,2020
6061,100006061,1.0,E. POLLO,5.0,1.0,2020
6062,100006062,9.0,Salteña,1.0,1.5,2020
6063,100006063,1.0,E. POLLO,2.0,1.0,2020
6064,100006064,1.0,E. POLLO,2.0,1.0,2020
6065,100006065,1.0,E. POLLO,3.0,1.0,2020
6066,100006066,174.0,Cafe Leche,1.0,1.2,2020
6066,100006066,1.0,E. POLLO,4.0,1.0,2020
6066,100006066,52.0,Refresco,1.0,1.5,2020
6067,100006067,1.0,E. POLLO,2.0,1.0,2020
6068,100006068,1.0,E. POLLO,3.0,1.0,2020
6069,100006069,1.0,E. POLLO,7.0,1.0,2020
6070,100006070,1.0,E. POLLO,12.0,1.0,2020
6071,100006071,9.0,Salteña,1.0,1.5,2020
6071,100006071,1.0,E. POLLO,3.0,1.0,2020
6072,100006072,9.0,Salteña,1.0,1.5,2020
6072,100006072,1.0,E. POLLO,6.0,1.0,2020
6073,100006073,1.0,E. POLLO,3.0,1.0,2020
6074,100006074,1.0,E. POLLO,7.0,1.0,2020
6075,100006075,9.0,Salteña,1.0,1.5,2020
6075,100006075,1.0,E. POLLO,2.0,1.0,2020
6076,100006076,1.0,E. POLLO,10.0,1.0,2020
6076,100006076,9.0,Salteña,1.0,1.5,2020
6076,100006076,1.0,E. POLLO,1.0,1.0,2020
6077,100006077,1.0,E. POLLO,12.0,1.0,2020
6078,100006078,10254.0,cuñape 0.50,1.0,0.5,2020
6079,100006079,9.0,Salteña,1.0,1.5,2020
6080,100006080,171.0,solo,1.0,1.0,2020
6081,100006081,1.0,E. POLLO,4.0,1.0,2020
6082,100006082,174.0,Cafe Leche,1.0,1.2,2020
6082,100006082,1.0,E. POLLO,4.0,1.0,2020
6083,100006083,1.0,E. POLLO,4.0,1.0,2020
6084,100006084,174.0,Cafe Leche,3.0,1.2,2020
6084,100006084,1.0,E. POLLO,5.0,1.0,2020
6085,100006085,9.0,Salteña,6.0,1.5,2020
6085,100006085,1.0,E. POLLO,2.0,1.0,2020
6086,100006086,1.0,E. POLLO,8.0,1.0,2020
6087,100006087,174.0,Cafe Leche,1.0,1.2,2020
6088,100006088,174.0,Cafe Leche,1.0,1.2,2020
6088,100006088,1.0,E. POLLO,8.0,1.0,2020
6089,100006089,1.0,E. POLLO,7.0,1.0,2020
6090,100006090,1.0,E. POLLO,15.0,1.0,2020
6091,100006091,1.0,E. POLLO,2.0,1.0,2020
6092,100006092,1.0,E. POLLO,7.0,1.0,2020
6093,100006093,174.0,Cafe Leche,2.0,1.2,2020
6093,100006093,1.0,E. POLLO,14.0,1.0,2020
6094,100006094,1.0,E. POLLO,3.0,1.0,2020
6095,100006095,1.0,E. POLLO,2.0,1.0,2020
6096,100006096,1.0,E. POLLO,1.0,1.0,2020
6097,100006097,9.0,Salteña,3.0,1.5,2020
6098,100006098,1.0,E. POLLO,1.0,1.0,2020
6099,100006099,77.0,Tercio,1.0,1.2,2020
6099,100006099,1.0,E. POLLO,2.0,1.0,2020
6100,100006100,1.0,E. POLLO,13.0,1.0,2020
6101,100006101,1.0,E. POLLO,3.0,1.0,2020
6102,100006102,1.0,E. POLLO,2.0,1.0,2020
6103,100006103,76.0,Quinto,1.0,1.0,2020
6104,100006104,1245.0,cerveza clarita copa,4.0,1.1,2020
6105,100006105,1.0,E. POLLO,5.0,1.0,2020
6106,100006106,1.0,E. POLLO,2.0,1.0,2020
6107,100006107,1.0,E. POLLO,20.0,1.0,2020
6108,100006108,1.0,E. POLLO,3.0,1.0,2020
6109,100006109,1.0,E. POLLO,1.0,1.0,2020
6110,100006110,1.0,E. POLLO,19.0,1.0,2020
6111,100006111,1.0,E. POLLO,1.0,1.0,2020
6112,100006112,1.0,E. POLLO,1.0,1.0,2020
6113,100006113,172.0,Cortado/Manchado,1.0,1.0,2020
6114,100006114,10254.0,cuñape 0.50,1.0,0.5,2020
6115,100006115,1.0,E. POLLO,2.0,1.0,2020
6116,100006116,192.0,copa coñac,1.0,1.5,2020
6117,100006117,1.0,E. POLLO,1.0,1.0,2020
6118,100006118,174.0,Cafe Leche,2.0,1.2,2020
6118,100006118,1.0,E. POLLO,15.0,1.0,2020
6119,100006119,174.0,Cafe Leche,2.0,1.2,2020
6119,100006119,1.0,E. POLLO,2.0,1.0,2020
6120,100006120,1.0,E. POLLO,3.0,1.0,2020
6121,100006121,1.0,E. POLLO,1.0,1.0,2020
6122,100006122,171.0,solo,1.0,1.0,2020
6123,100006123,171.0,solo,1.0,1.0,2020
6123,100006123,9.0,Salteña,1.0,1.5,2020
6123,100006123,1.0,E. POLLO,7.0,1.0,2020
6124,100006124,1.0,E. POLLO,2.0,1.0,2020
6125,100006125,174.0,Cafe Leche,1.0,1.2,2020
6125,100006125,1.0,E. POLLO,6.0,1.0,2020
6126,100006126,1.0,E. POLLO,12.0,1.0,2020
6127,100006127,172.0,Cortado/Manchado,2.0,1.0,2020
6127,100006127,174.0,Cafe Leche,2.0,1.2,2020
6128,100006128,174.0,Cafe Leche,1.0,1.2,2020
6129,100006129,1.0,E. POLLO,40.0,1.0,2020
6130,100006130,1.0,E. POLLO,4.0,1.0,2020
6131,100006131,1.0,E. POLLO,2.0,1.0,2020
6132,100006132,2323.0,menu 10,1.0,10.0,2020
6132,100006132,1.0,E. POLLO,3.0,1.0,2020
6133,100006133,53.0,Vaso R.,1.0,1.0,2020
6134,100006134,1.0,E. POLLO,10.0,1.0,2020
6135,100006135,174.0,Cafe Leche,1.0,1.2,2020
6135,100006135,1.0,E. POLLO,1.0,1.0,2020
6136,100006136,1.0,E. POLLO,3.0,1.0,2020
6137,100006137,1.0,E. POLLO,5.0,1.0,2020
6138,100006138,1.0,E. POLLO,2.0,1.0,2020
6139,100006139,1.0,E. POLLO,2.0,1.0,2020
6140,100006140,1.0,E. POLLO,2.0,1.0,2020
6141,100006141,1.0,E. POLLO,3.0,1.0,2020
6141,100006141,305.0,Pan,2.0,0.5,2020
6141,100006141,1.0,E. POLLO,1.0,1.0,2020
6142,100006142,1.0,E. POLLO,3.0,1.0,2020
6143,100006143,192.0,copa coñac,1.0,1.5,2020
6144,100006144,1.0,E. POLLO,5.0,1.0,2020
6145,100006145,1.0,E. POLLO,6.0,1.0,2020
6146,100006146,1.0,E. POLLO,5.0,1.0,2020
6146,100006146,9.0,Salteña,1.0,1.5,2020
6146,100006146,1.0,E. POLLO,1.0,1.0,2020
6147,100006147,9.0,Salteña,1.0,1.5,2020
6147,100006147,1.0,E. POLLO,3.0,1.0,2020
6148,100006148,1.0,E. POLLO,41.0,1.0,2020
6149,100006149,52.0,Refresco,1.0,1.5,2020
6149,100006149,40.0,pique macho 10€,4.0,10.0,2020
6150,100006150,1.0,E. POLLO,2.0,1.0,2020
6151,100006151,192.0,copa coñac,4.0,1.5,2020
6152,100006152,172.0,Cortado/Manchado,10.0,1.0,2020
6152,100006152,174.0,Cafe Leche,1.0,1.2,2020
6153,100006153,9.0,Salteña,5.0,1.5,2020
6153,100006153,1.0,E. POLLO,4.0,1.0,2020
6153,100006153,175.0,Belmonte,1.0,1.2,2020
6154,100006154,1.0,E. POLLO,10.0,1.0,2020
6155,100006155,10254.0,cuñape 0.50,1.0,0.5,2020
6156,100006156,174.0,Cafe Leche,2.0,1.2,2020
6157,100006157,1.0,E. POLLO,6.0,1.0,2020
6158,100006158,9.0,Salteña,1.0,1.5,2020
6158,100006158,1.0,E. POLLO,4.0,1.0,2020
6159,100006159,1.0,E. POLLO,3.0,1.0,2020
6160,100006160,1.0,E. POLLO,7.0,1.0,2020
6161,100006161,1.0,E. POLLO,8.0,1.0,2020
6162,100006162,1.0,E. POLLO,2.0,1.0,2020
6163,100006163,1.0,E. POLLO,2.0,1.0,2020
6164,100006164,1.0,E. POLLO,13.0,1.0,2020
6165,100006165,1.0,E. POLLO,3.0,1.0,2020
6166,100006166,9.0,Salteña,6.0,1.5,2020
6166,100006166,1.0,E. POLLO,5.0,1.0,2020
6166,100006166,78.0,Litro,1.0,2.5,2020
6167,100006167,1.0,E. POLLO,15.0,1.0,2020
6168,100006168,78.0,Litro,1.0,2.5,2020
6169,100006169,1.0,E. POLLO,11.0,1.0,2020
6170,100006170,1.0,E. POLLO,11.0,1.0,2020
6171,100006171,1.0,E. POLLO,17.0,1.0,2020
6172,100006172,174.0,Cafe Leche,2.0,1.2,2020
6172,100006172,1.0,E. POLLO,2.0,1.0,2020
6173,100006173,1.0,E. POLLO,12.0,1.0,2020
6174,100006174,1.0,E. POLLO,12.0,1.0,2020
6175,100006175,9.0,Salteña,1.0,1.5,2020
6175,100006175,1.0,E. POLLO,9.0,1.0,2020
6176,100006176,1.0,E. POLLO,10.0,1.0,2020
6177,100006177,1.0,E. POLLO,5.0,1.0,2020
6178,100006178,1.0,E. POLLO,3.0,1.0,2020
6179,100006179,9.0,Salteña,1.0,1.5,2020
6180,100006180,1.0,E. POLLO,8.0,1.0,2020
6181,100006181,9.0,Salteña,1.0,1.5,2020
6181,100006181,1.0,E. POLLO,1.0,1.0,2020
6182,100006182,1.0,E. POLLO,7.0,1.0,2020
6183,100006183,1.0,E. POLLO,35.0,1.0,2020
6184,100006184,174.0,Cafe Leche,2.0,1.2,2020
6184,100006184,1.0,E. POLLO,5.0,1.0,2020
6185,100006185,1.0,E. POLLO,2.0,1.0,2020
6185,100006185,174.0,Cafe Leche,1.0,1.2,2020
6186,100006186,9.0,Salteña,1.0,1.5,2020
6187,100006187,9.0,Salteña,1.0,1.5,2020
6188,100006188,78.0,Litro,2.0,2.5,2020
6189,100006189,1.0,E. POLLO,6.0,1.0,2020
6190,100006190,1.0,E. POLLO,10.0,1.0,2020
6191,100006191,1.0,E. POLLO,5.0,1.0,2020
6192,100006192,1.0,E. POLLO,16.0,1.0,2020
6193,100006193,1.0,E. POLLO,12.0,1.0,2020
6194,100006194,1.0,E. POLLO,1.0,1.0,2020
6195,100006195,1.0,E. POLLO,5.0,1.0,2020
6196,100006196,1.0,E. POLLO,15.0,1.0,2020
6197,100006197,76.0,Quinto,1.0,1.0,2020
6198,100006198,192.0,copa coñac,1.0,1.5,2020
6199,100006199,1.0,E. POLLO,5.0,1.0,2020
6200,100006200,1.0,E. POLLO,5.0,1.0,2020
6201,100006201,1.0,E. POLLO,15.0,1.0,2020
6202,100006202,174.0,Cafe Leche,1.0,1.2,2020
6202,100006202,9.0,Salteña,1.0,1.5,2020
6202,100006202,1.0,E. POLLO,10.0,1.0,2020
6203,100006203,1.0,E. POLLO,1.0,1.0,2020
6204,100006204,174.0,Cafe Leche,1.0,1.2,2020
6204,100006204,1.0,E. POLLO,1.0,1.0,2020
6205,100006205,9.0,Salteña,1.0,1.5,2020
6205,100006205,1.0,E. POLLO,2.0,1.0,2020
6206,100006206,52.0,Refresco,1.0,1.5,2020
6206,100006206,1.0,E. POLLO,2.0,1.0,2020
6206,100006206,172.0,Cortado/Manchado,1.0,1.0,2020
6207,100006207,172.0,Cortado/Manchado,1.0,1.0,2020
6207,100006207,1.0,E. POLLO,1.0,1.0,2020
6208,100006208,1.0,E. POLLO,3.0,1.0,2020
6209,100006209,1.0,E. POLLO,11.0,1.0,2020
6209,100006209,174.0,Cafe Leche,2.0,1.2,2020
6210,100006210,174.0,Cafe Leche,1.0,1.2,2020
6210,100006210,1.0,E. POLLO,2.0,1.0,2020
6211,100006211,1.0,E. POLLO,10.0,1.0,2020
6212,100006212,1.0,E. POLLO,2.0,1.0,2020
6213,100006213,1.0,E. POLLO,6.0,1.0,2020
6214,100006214,52.0,Refresco,1.0,1.5,2020
6214,100006214,1.0,E. POLLO,1.0,1.0,2020
6215,100006215,1.0,E. POLLO,2.0,1.0,2020
6216,100006216,9.0,Salteña,1.0,1.5,2020
6216,100006216,1.0,E. POLLO,2.0,1.0,2020
6217,100006217,1.0,E. POLLO,3.0,1.0,2020
6218,100006218,1.0,E. POLLO,20.0,1.0,2020
6219,100006219,1.0,E. POLLO,2.0,1.0,2020
6220,100006220,1.0,E. POLLO,9.0,1.0,2020
6221,100006221,1.0,E. POLLO,6.0,1.0,2020
6222,100006222,77.0,Tercio,2.0,1.2,2020
6223,100006223,1.0,E. POLLO,3.0,1.0,2020
6224,100006224,1.0,E. POLLO,8.0,1.0,2020
6225,100006225,2323.0,menu 10,1.0,10.0,2020
6226,100006226,41.0,menu 8€,2.0,8.0,2020
6227,100006227,41.0,menu 8€,1.0,8.0,2020
6228,100006228,1.0,E. POLLO,22.0,1.0,2020
6229,100006229,132.0,Marinera,1.0,1.5,2020
6230,100006230,1.0,E. POLLO,3.0,1.0,2020
6231,100006231,9.0,Salteña,1.0,1.5,2020
6232,100006232,1.0,E. POLLO,2.0,1.0,2020
6233,100006233,1.0,E. POLLO,4.0,1.0,2020
6234,100006234,1.0,E. POLLO,3.0,1.0,2020
6234,100006234,174.0,Cafe Leche,2.0,1.2,2020
6235,100006235,174.0,Cafe Leche,2.0,1.2,2020
6235,100006235,1.0,E. POLLO,5.0,1.0,2020
6236,100006236,9.0,Salteña,1.0,1.5,2020
6237,100006237,1.0,E. POLLO,3.0,1.0,2020
6238,100006238,9.0,Salteña,1.0,1.5,2020
6239,100006239,9.0,Salteña,3.0,1.5,2020
6239,100006239,1.0,E. POLLO,1.0,1.0,2020
6239,100006239,174.0,Cafe Leche,2.0,1.2,2020
6240,100006240,9.0,Salteña,2.0,1.5,2020
6240,100006240,1.0,E. POLLO,4.0,1.0,2020
6241,100006241,174.0,Cafe Leche,1.0,1.2,2020
6241,100006241,1.0,E. POLLO,2.0,1.0,2020
6241,100006241,9.0,Salteña,2.0,1.5,2020
6241,100006241,1.0,E. POLLO,3.0,1.0,2020
6242,100006242,9.0,Salteña,2.0,1.5,2020
6242,100006242,1.0,E. POLLO,1.0,1.0,2020
6243,100006243,1.0,E. POLLO,2.0,1.0,2020
6244,100006244,1.0,E. POLLO,14.0,1.0,2020
6245,100006245,1.0,E. POLLO,3.0,1.0,2020
6246,100006246,1.0,E. POLLO,2.0,1.0,2020
6247,100006247,1.0,E. POLLO,2.0,1.0,2020
6247,100006247,174.0,Cafe Leche,2.0,1.2,2020
6248,100006248,1.0,E. POLLO,2.0,1.0,2020
6249,100006249,1.0,E. POLLO,2.0,1.0,2020
6250,100006250,174.0,Cafe Leche,2.0,1.2,2020
6251,100006251,171.0,solo,8.0,1.0,2020
6252,100006252,1.0,E. POLLO,8.0,1.0,2020
6253,100006253,1.0,E. POLLO,5.0,1.0,2020
6254,100006254,1.0,E. POLLO,25.0,1.0,2020
6255,100006255,1.0,E. POLLO,8.0,1.0,2020
6256,100006256,9.0,Salteña,2.0,1.5,2020
6257,100006257,10254.0,cuñape 0.50,1.0,0.5,2020
6258,100006258,1.0,E. POLLO,4.0,1.0,2020
6259,100006259,1.0,E. POLLO,5.0,1.0,2020
6260,100006260,1.0,E. POLLO,3.0,1.0,2020
6260,100006260,52.0,Refresco,1.0,1.5,2020
6261,100006261,1.0,E. POLLO,2.0,1.0,2020
6262,100006262,1.0,E. POLLO,5.0,1.0,2020
6263,100006263,10254.0,cuñape 0.50,1.0,0.5,2020
6264,100006264,10254.0,cuñape 0.50,1.0,0.5,2020
6265,100006265,1.0,E. POLLO,5.0,1.0,2020
6266,100006266,1.0,E. POLLO,12.0,1.0,2020
6267,100006267,1.0,E. POLLO,6.0,1.0,2020
6268,100006268,1.0,E. POLLO,10.0,1.0,2020
6269,100006269,1.0,E. POLLO,5.0,1.0,2020
6270,100006270,1.0,E. POLLO,6.0,1.0,2020
6271,100006271,1.0,E. POLLO,8.0,1.0,2020
6272,100006272,1.0,E. POLLO,1.0,1.0,2020
6273,100006273,1.0,E. POLLO,55.0,1.0,2020
6274,100006274,1.0,E. POLLO,11.0,1.0,2020
