NUMCAJ,FECHA,year_file
100004550,2020-10-18,2020
100004551,2020-10-18,2020
100004552,2020-10-18,2020
100004553,2020-10-18,2020
100004554,2020-10-18,2020
100004555,2020-10-18,2020
100004556,2020-10-18,2020
100004557,2020-10-18,2020
100004558,2020-10-18,2020
100004559,2020-10-18,2020
100004560,2020-10-18,2020
100004561,2020-10-18,2020
100004562,2020-10-18,2020
100004563,2020-10-18,2020
100004564,2020-10-18,2020
100004565,2020-10-18,2020
100004566,2020-10-18,2020
100004567,2020-10-18,2020
100004568,2020-10-18,2020
100004569,2020-10-18,2020
100004570,2020-10-18,2020
100004571,2020-10-18,2020
100004572,2020-10-18,2020
100004573,2020-10-18,2020
100004574,2020-10-18,2020
100004575,2020-10-18,2020
100004576,2020-10-18,2020
100004577,2020-10-18,2020
100004578,2020-10-18,2020
100004579,2020-10-18,2020
100004580,2020-10-18,2020
100004581,2020-10-18,2020
100004582,2020-10-18,2020
100004583,2020-10-18,2020
100004584,2020-10-18,2020
100004585,2020-10-18,2020
100004586,2020-10-19,2020
100004587,2020-10-19,2020
100004588,2020-10-19,2020
100004589,2020-10-19,2020
100004590,2020-10-19,2020
100004591,2020-10-19,2020
100004592,2020-10-19,2020
100004593,2020-10-19,2020
100004594,2020-10-19,2020
100004595,2020-10-19,2020
100004596,2020-10-19,2020
100004597,2020-10-19,2020
100004598,2020-10-19,2020
100004599,2020-10-19,2020
100004600,2020-10-19,2020
100004601,2020-10-19,2020
100004602,2020-10-19,2020
100004603,2020-10-19,2020
100004604,2020-10-19,2020
100004605,2020-10-19,2020
100004606,2020-10-19,2020
100004607,2020-10-19,2020
100004608,2020-10-19,2020
100004609,2020-10-19,2020
100004610,2020-10-19,2020
100004611,2020-10-19,2020
100004612,2020-10-19,2020
100004613,2020-10-19,2020
100004614,2020-10-19,2020
100004615,2020-10-19,2020
100004616,2020-10-19,2020
100004617,2020-10-19,2020
100004618,2020-10-19,2020
100004619,2020-10-19,2020
100004620,2020-10-19,2020
100004621,2020-10-19,2020
100004622,2020-10-19,2020
100004623,2020-10-19,2020
100004624,2020-10-20,2020
100004625,2020-10-20,2020
100004626,2020-10-20,2020
100004627,2020-10-20,2020
100004628,2020-10-20,2020
100004629,2020-10-20,2020
100004630,2020-10-20,2020
100004631,2020-10-20,2020
100004632,2020-10-20,2020
100004633,2020-10-20,2020
100004634,2020-10-20,2020
100004635,2020-10-20,2020
100004636,2020-10-20,2020
100004637,2020-10-20,2020
